operacao,dado,tempo_ns,colisoes
INSERCAO,698351333,1304,0
INSERCAO,529294491,342,0
INSERCAO,526454921,707,1
INSERCAO,648070347,297,0
INSERCAO,829708007,400,1
INSERCAO,692983215,254,0
INSERCAO,792567154,357,0
INSERCAO,797107022,283,0
INSERCAO,592622681,412,1
INSERCAO,667589032,307,1
INSERCAO,142803213,267,1
INSERCAO,932522173,282,1
INSERCAO,294023053,317,2
INSERCAO,836977161,321,2
INSERCAO,166018526,261,0
INSERCAO,956126274,276,1
INSERCAO,780429097,372,2
INSERCAO,241881019,323,0
INSERCAO,462774010,264,0
INSERCAO,999704681,391,3
INSERCAO,432894319,332,1
INSERCAO,831322674,290,2
INSERCAO,505053723,301,3
INSERCAO,392660688,259,0
INSERCAO,036672407,279,1
INSERCAO,836236319,299,2
INSERCAO,758469330,273,1
INSERCAO,596261994,271,1
INSERCAO,634878808,277,1
INSERCAO,078714315,299,1
INSERCAO,798769883,372,2
INSERCAO,183575663,363,3
INSERCAO,520097559,426,3
INSERCAO,806586764,363,3
INSERCAO,616987620,307,2
INSERCAO,254641876,297,1
INSERCAO,618873101,331,3
INSERCAO,088059496,313,1
INSERCAO,404507074,321,2
INSERCAO,297440187,397,2
INSERCAO,783536336,317,2
INSERCAO,379959923,424,4
INSERCAO,856579083,387,3
INSERCAO,145837273,353,4
INSERCAO,265277396,302,3
INSERCAO,745333279,360,4
INSERCAO,688386104,295,2
INSERCAO,006297401,374,2
INSERCAO,412827145,364,2
INSERCAO,862871557,372,2
INSERCAO,897261146,302,3
INSERCAO,898601820,340,2
INSERCAO,101043194,358,3
INSERCAO,648822540,334,3
INSERCAO,657365231,326,4
INSERCAO,921457885,271,1
INSERCAO,778671688,282,2
INSERCAO,792484200,298,3
INSERCAO,755899384,345,3
INSERCAO,259680057,410,3
INSERCAO,106505290,266,1
INSERCAO,856074775,297,2
INSERCAO,861236807,300,3
INSERCAO,150288398,270,1
INSERCAO,108792369,275,1
INSERCAO,029362962,455,2
INSERCAO,249105267,351,4
INSERCAO,028391850,279,2
INSERCAO,906298328,348,3
INSERCAO,864222908,370,4
INSERCAO,276042917,425,4
INSERCAO,456479655,316,3
INSERCAO,225217849,320,2
INSERCAO,996804352,346,1
INSERCAO,506667322,385,3
INSERCAO,719163414,354,4
INSERCAO,420035936,426,4
INSERCAO,060041900,337,3
INSERCAO,129293339,334,3
INSERCAO,929041088,365,4
INSERCAO,398298832,350,4
INSERCAO,052852350,2240,4
INSERCAO,845582623,399,4
INSERCAO,619902746,390,5
INSERCAO,989488197,340,3
INSERCAO,191293162,502,5
INSERCAO,660530204,324,3
INSERCAO,024676276,358,2
INSERCAO,847281574,337,3
INSERCAO,659832328,357,3
INSERCAO,535644013,454,4
INSERCAO,827165159,342,5
INSERCAO,840416632,345,2
INSERCAO,533981428,318,2
INSERCAO,771064211,496,5
INSERCAO,721246537,402,3
INSERCAO,093308446,303,2
INSERCAO,643470483,360,5
INSERCAO,387487183,457,5
INSERCAO,762646131,405,6
INSERCAO,216067841,339,3
INSERCAO,380528505,414,3
INSERCAO,280753696,458,5
INSERCAO,270625834,475,4
INSERCAO,375250358,407,2
INSERCAO,548978502,474,4
INSERCAO,011614611,389,4
INSERCAO,471268530,371,3
INSERCAO,731190271,456,7
INSERCAO,378251882,448,6
INSERCAO,972778627,404,4
INSERCAO,490194349,438,4
INSERCAO,343014705,404,4
INSERCAO,856218592,407,3
INSERCAO,912798113,437,4
INSERCAO,039226949,378,2
INSERCAO,960519162,388,4
INSERCAO,049097303,311,2
INSERCAO,589937774,337,3
INSERCAO,127585830,470,2
INSERCAO,376549075,379,5
INSERCAO,180064441,421,5
INSERCAO,020322295,336,2
INSERCAO,929312283,377,5
INSERCAO,043911569,375,3
INSERCAO,885460312,371,5
INSERCAO,715968958,548,4
INSERCAO,150030363,454,5
INSERCAO,760549815,447,3
INSERCAO,305013945,379,5
INSERCAO,619246594,360,4
INSERCAO,638352950,436,4
INSERCAO,212782835,3399,6
INSERCAO,979517564,628,2
INSERCAO,219001037,1103,5
INSERCAO,182254161,1014,6
INSERCAO,572571101,373,2
INSERCAO,454780757,325,3
INSERCAO,100089584,686,4
INSERCAO,839526410,724,4
INSERCAO,470786458,494,3
INSERCAO,459875052,795,5
INSERCAO,826922503,735,5
INSERCAO,764144789,840,6
INSERCAO,081914422,517,6
INSERCAO,445128311,396,4
INSERCAO,554353035,328,4
INSERCAO,773517488,614,5
INSERCAO,647293038,320,4
INSERCAO,486456073,734,6
INSERCAO,149317743,521,6
INSERCAO,585629173,539,6
INSERCAO,478316076,840,6
INSERCAO,284305687,401,5
INSERCAO,010811091,438,5
INSERCAO,395811036,424,6
INSERCAO,007503650,332,3
INSERCAO,899401177,582,5
INSERCAO,037207617,464,6
INSERCAO,769138680,334,4
INSERCAO,300467251,362,5
INSERCAO,262783034,665,5
INSERCAO,887730771,590,4
INSERCAO,638296945,606,5
INSERCAO,433661863,441,7
INSERCAO,496081801,439,5
INSERCAO,276557235,553,7
INSERCAO,058592420,480,5
INSERCAO,910642037,381,6
INSERCAO,509739847,333,4
INSERCAO,434357026,466,7
INSERCAO,488721826,368,7
INSERCAO,687683279,618,5
INSERCAO,200785627,527,7
INSERCAO,078165442,645,7
INSERCAO,725922754,629,5
INSERCAO,938114832,940,6
INSERCAO,382053022,406,7
INSERCAO,760565687,542,4
INSERCAO,038114203,401,3
INSERCAO,148694348,322,2
INSERCAO,238167444,436,6
INSERCAO,869506761,384,5
INSERCAO,851905976,314,4
INSERCAO,151042295,415,7
INSERCAO,767492538,675,6
INSERCAO,247007724,394,7
INSERCAO,903850093,628,5
INSERCAO,282533996,529,7
INSERCAO,344218418,311,3
INSERCAO,858283561,360,6
INSERCAO,714107663,308,3
INSERCAO,331555060,349,3
INSERCAO,781567694,366,4
INSERCAO,802152318,436,5
INSERCAO,895540852,442,7
INSERCAO,210733268,366,4
INSERCAO,654129399,389,6
INSERCAO,143437938,437,3
INSERCAO,854568626,388,5
INSERCAO,095720278,333,4
INSERCAO,741458179,394,6
INSERCAO,864840710,709,5
INSERCAO,650859489,442,7
INSERCAO,946918614,847,4
INSERCAO,849537083,456,5
INSERCAO,715303048,636,5
INSERCAO,602471811,412,4
INSERCAO,353155708,395,4
INSERCAO,580990065,4517,6
INSERCAO,812285069,725,7
INSERCAO,156595463,565,6
INSERCAO,178750090,358,4
INSERCAO,481975920,579,4
INSERCAO,235630187,556,6
INSERCAO,831146782,371,3
INSERCAO,162742816,381,3
INSERCAO,793447022,434,2
INSERCAO,012779292,326,3
INSERCAO,773885812,304,3
INSERCAO,050603085,493,3
INSERCAO,733765649,410,7
INSERCAO,316720776,576,8
INSERCAO,599753021,365,5
INSERCAO,084571756,425,3
INSERCAO,186114057,497,8
INSERCAO,984555781,484,5
INSERCAO,354513263,696,5
INSERCAO,044015610,686,5
INSERCAO,469873143,684,8
INSERCAO,894979302,513,8
INSERCAO,606920273,608,7
INSERCAO,653167873,389,6
INSERCAO,663208079,415,7
INSERCAO,128251821,560,6
INSERCAO,826843877,394,3
INSERCAO,541156019,385,8
INSERCAO,949740655,354,2
INSERCAO,959677549,388,3
INSERCAO,604266972,442,5
