operacao,dado,tempo_ns,colisoes
operacao,dado,tempo_ns,colisoes
INSERCAO,638586598,1350800,0
INSERCAO,692941934,5200,0
INSERCAO,390783470,4300,0
INSERCAO,662901082,4000,0
INSERCAO,271213166,4100,0
INSERCAO,123217259,4000,0
INSERCAO,141171519,3900,0
INSERCAO,855397305,4000,0
INSERCAO,680072668,3900,0
INSERCAO,742958652,3900,0
INSERCAO,625281557,3900,0
INSERCAO,853916974,3800,0
INSERCAO,572392962,3900,0
INSERCAO,344280498,38900,1
INSERCAO,031012867,3900,0
INSERCAO,946217327,3900,0
INSERCAO,632838046,3800,0
INSERCAO,345780562,4900,1
INSERCAO,234716186,19500,0
INSERCAO,267017055,4200,0
INSERCAO,105153294,5000,0
INSERCAO,845081124,5000,0
INSERCAO,474818289,4900,0
INSERCAO,098930652,5100,1
INSERCAO,196599587,5000,0
INSERCAO,299977753,4800,0
INSERCAO,690577093,4800,0
INSERCAO,000057414,4800,0
INSERCAO,784807181,4700,0
INSERCAO,447413273,4900,0
INSERCAO,666241977,4700,0
INSERCAO,946811534,4800,1
INSERCAO,983536809,4800,0
INSERCAO,212307006,4700,0
INSERCAO,782387446,4700,1
INSERCAO,117417132,4700,0
INSERCAO,292892470,4600,1
INSERCAO,486037389,4600,1
INSERCAO,042006378,4700,0
INSERCAO,148327926,4600,0
INSERCAO,235205632,4600,1
INSERCAO,203987025,4600,0
INSERCAO,029065851,4700,0
INSERCAO,391481863,4700,0
INSERCAO,159220390,5000,0
INSERCAO,560181236,4700,0
INSERCAO,254399120,4500,0
INSERCAO,212259146,3200,2
INSERCAO,819750573,4600,1
INSERCAO,819989275,4700,0
INSERCAO,831850736,4500,1
INSERCAO,136529504,4700,0
INSERCAO,790654000,4800,0
INSERCAO,455729286,4800,1
INSERCAO,016755207,5000,0
INSERCAO,981753624,4800,1
INSERCAO,411513632,4800,2
INSERCAO,835906454,4700,0
INSERCAO,455302440,4800,0
INSERCAO,039664742,4800,0
INSERCAO,178953004,4600,1
INSERCAO,200746389,4700,2
INSERCAO,906596397,4800,0
INSERCAO,890238634,4800,2
INSERCAO,167189980,4700,0
INSERCAO,066547876,4900,0
INSERCAO,432786433,5000,0
INSERCAO,999690260,4900,0
INSERCAO,740345585,4900,0
INSERCAO,099847718,3300,0
INSERCAO,395545896,5000,0
INSERCAO,459945397,5000,1
INSERCAO,511199491,5100,0
INSERCAO,475780552,5400,2
INSERCAO,765734663,5500,1
INSERCAO,296337251,5000,1
INSERCAO,509468418,4700,1
INSERCAO,861078699,5200,0
INSERCAO,623800087,4800,1
INSERCAO,147406255,4900,1
INSERCAO,611592983,4900,0
