operacao,dado,tempo_ns,colisoes
INSERCAO,564902406,1337,0
INSERCAO,027971226,270,1
INSERCAO,873486950,208,0
INSERCAO,540213407,217,0
INSERCAO,973061398,152,0
INSERCAO,222573537,205,1
INSERCAO,988414633,166,0
INSERCAO,586108601,148,0
INSERCAO,304462022,254,0
INSERCAO,244156991,232,1
INSERCAO,373606024,142,0
INSERCAO,495406553,195,1
INSERCAO,001224766,196,2
INSERCAO,584866052,204,1
INSERCAO,751021590,175,1
INSERCAO,662539071,172,2
INSERCAO,029598435,221,0
INSERCAO,764176873,201,2
INSERCAO,087039988,136,1
INSERCAO,836893717,191,2
INSERCAO,687959623,154,3
INSERCAO,598990571,269,3
INSERCAO,761502433,395,4
INSERCAO,698596038,154,2
INSERCAO,974663872,222,2
INSERCAO,393246727,163,3
INSERCAO,498073135,238,1
INSERCAO,826234425,204,2
INSERCAO,980973271,189,4
INSERCAO,529890037,173,4
INSERCAO,659915932,162,3
INSERCAO,417736277,151,5
INSERCAO,611475169,271,0
INSERCAO,869424058,172,3
INSERCAO,661373921,177,5
INSERCAO,984349244,194,1
INSERCAO,250674265,163,3
INSERCAO,576699525,228,4
INSERCAO,315355787,189,6
INSERCAO,525571624,130,2
INSERCAO,532449193,224,5
INSERCAO,616746807,242,7
INSERCAO,108006660,200,2
INSERCAO,914325055,203,5
INSERCAO,786099010,209,3
INSERCAO,214748902,200,4
INSERCAO,245105992,168,5
INSERCAO,509098130,149,4
INSERCAO,780039825,215,6
INSERCAO,874756197,274,8
INSERCAO,517507835,218,7
INSERCAO,654774114,209,3
INSERCAO,839371532,260,6
INSERCAO,648733777,256,9
INSERCAO,821016047,202,10
INSERCAO,520577144,208,4
INSERCAO,720983935,230,8
INSERCAO,912049399,298,1
INSERCAO,144519874,207,5
INSERCAO,585654817,186,11
INSERCAO,548937860,298,5
INSERCAO,231266531,163,6
INSERCAO,200224165,224,9
INSERCAO,966928842,319,7
INSERCAO,341642758,157,4
INSERCAO,044607287,268,12
INSERCAO,206502964,179,6
INSERCAO,192293418,155,5
INSERCAO,240115587,256,13
INSERCAO,195310991,186,7
INSERCAO,916996435,215,10
INSERCAO,688947896,208,3
INSERCAO,900943894,155,7
INSERCAO,181883737,235,14
INSERCAO,346998729,206,2
INSERCAO,129512050,161,6
INSERCAO,112467745,280,11
INSERCAO,927170327,225,15
INSERCAO,990003194,222,8
INSERCAO,870150903,206,6
INSERCAO,771905161,165,8
INSERCAO,819320830,224,7
INSERCAO,827762169,163,3
INSERCAO,280617000,162,8
INSERCAO,206778277,269,16
INSERCAO,506414042,242,8
INSERCAO,344884940,235,9
INSERCAO,437425184,176,9
INSERCAO,205778917,206,17
INSERCAO,842163407,257,18
INSERCAO,107088237,234,19
INSERCAO,838881333,221,7
INSERCAO,579446055,554,12
INSERCAO,120692456,165,4
INSERCAO,385833700,317,10
INSERCAO,365256175,254,13
INSERCAO,520802355,168,14
INSERCAO,395960469,217,4
INSERCAO,105549142,195,9
INSERCAO,934182327,232,20
INSERCAO,438153258,234,6
INSERCAO,610013503,176,8
INSERCAO,157794736,220,5
INSERCAO,985568471,193,9
INSERCAO,780158396,210,6
INSERCAO,590890641,204,10
INSERCAO,371417503,178,9
INSERCAO,993622006,240,7
INSERCAO,045074658,238,7
INSERCAO,109750231,195,11
INSERCAO,712400007,288,21
INSERCAO,825749838,176,8
INSERCAO,007683540,243,11
INSERCAO,090528226,202,8
INSERCAO,842278782,187,10
INSERCAO,709102988,234,9
INSERCAO,496625401,203,12
INSERCAO,979532965,191,15
INSERCAO,689358430,237,12
INSERCAO,431701590,187,13
INSERCAO,030582418,235,10
INSERCAO,103931701,204,13
INSERCAO,825619585,238,16
INSERCAO,288467030,333,14
INSERCAO,909354610,295,15
INSERCAO,460637344,252,10
INSERCAO,330597741,250,14
INSERCAO,633605386,236,9
INSERCAO,779491779,289,5
INSERCAO,461979818,203,11
INSERCAO,874845991,175,15
INSERCAO,831881820,263,16
INSERCAO,681244873,281,10
INSERCAO,545736885,270,17
INSERCAO,947549099,493,6
INSERCAO,130351002,233,11
INSERCAO,621785664,195,11
INSERCAO,826429709,275,7
INSERCAO,973947774,213,12
INSERCAO,851948586,205,10
INSERCAO,018296281,358,16
INSERCAO,825405802,256,12
INSERCAO,725221316,180,11
INSERCAO,255872856,366,12
INSERCAO,389977276,224,13
INSERCAO,586585613,313,11
INSERCAO,774436546,228,14
INSERCAO,942368750,223,17
INSERCAO,845405574,324,13
INSERCAO,748833586,298,15
INSERCAO,273674602,250,13
INSERCAO,520738295,276,18
INSERCAO,784613856,235,16
INSERCAO,286766499,298,8
INSERCAO,194679684,420,14
INSERCAO,811212959,161,9
INSERCAO,308488125,322,19
INSERCAO,682616935,230,20
INSERCAO,858328699,163,10
INSERCAO,235101750,294,18
INSERCAO,034160176,245,17
INSERCAO,658205591,406,17
INSERCAO,695996610,352,19
INSERCAO,586680915,282,21
INSERCAO,325148647,343,22
INSERCAO,414198864,246,15
INSERCAO,255550433,203,12
INSERCAO,893235733,520,13
INSERCAO,270424904,241,16
INSERCAO,993015584,190,17
INSERCAO,090785413,316,14
INSERCAO,745530918,333,12
INSERCAO,316248427,356,23
INSERCAO,396237006,325,18
INSERCAO,603442976,214,19
INSERCAO,014556760,387,20
INSERCAO,704303662,296,14
INSERCAO,023230031,286,18
INSERCAO,907259542,259,15
INSERCAO,056152998,269,13
INSERCAO,099840511,258,19
INSERCAO,734940289,312,11
INSERCAO,080618825,395,22
INSERCAO,281527825,256,23
INSERCAO,774906791,295,20
INSERCAO,245910704,231,18
INSERCAO,183019150,425,21
INSERCAO,556745888,252,14
INSERCAO,090184955,339,24
INSERCAO,817498671,255,21
INSERCAO,921815168,201,15
INSERCAO,127441069,297,12
INSERCAO,601303240,287,22
INSERCAO,445071838,204,16
INSERCAO,337088493,347,15
INSERCAO,802366803,200,16
INSERCAO,259256806,338,20
INSERCAO,237902423,357,17
INSERCAO,728912457,321,24
INSERCAO,643279120,293,23
INSERCAO,069974038,268,17
INSERCAO,375631889,267,13
INSERCAO,875346255,299,25
INSERCAO,395727734,380,19
INSERCAO,609634208,275,18
INSERCAO,694139745,308,26
INSERCAO,801223814,317,20
INSERCAO,375759041,252,22
INSERCAO,171180970,331,24
INSERCAO,897744637,321,25
INSERCAO,116088842,206,16
INSERCAO,356091667,288,26
INSERCAO,318670467,225,27
INSERCAO,446160718,221,19
INSERCAO,377886193,270,18
INSERCAO,989672395,236,27
INSERCAO,832128360,335,25
INSERCAO,522708959,272,14
INSERCAO,510225662,214,17
INSERCAO,082544780,303,26
INSERCAO,391785301,300,23
INSERCAO,226639210,250,27
INSERCAO,944401566,305,21
INSERCAO,174742878,306,20
INSERCAO,864767875,317,28
INSERCAO,207776719,213,15
INSERCAO,644543220,259,28
INSERCAO,346363123,286,19
INSERCAO,622628738,248,21
INSERCAO,435727136,248,22
INSERCAO,489074050,315,29
INSERCAO,322001155,297,29
INSERCAO,173657326,281,23
INSERCAO,688919001,269,24
INSERCAO,486756465,245,30
INSERCAO,049482968,350,22
INSERCAO,329651921,342,25
INSERCAO,009740925,241,31
INSERCAO,547067878,290,23
INSERCAO,707516053,217,20
INSERCAO,171897467,381,28
INSERCAO,772995455,307,32
INSERCAO,470400658,282,24
INSERCAO,191417567,305,29
INSERCAO,705383320,529,30
INSERCAO,922711827,252,30
INSERCAO,878573726,484,24
INSERCAO,116581861,313,26
INSERCAO,614918391,298,27
INSERCAO,338998902,225,18
INSERCAO,677511769,296,16
INSERCAO,310246984,288,21
INSERCAO,682319291,276,28
INSERCAO,094589498,322,25
INSERCAO,769140154,243,22
INSERCAO,411251485,299,33
INSERCAO,929349340,413,31
INSERCAO,649685709,270,17
INSERCAO,921328298,352,26
INSERCAO,868258159,247,18
INSERCAO,946925074,323,23
INSERCAO,250699213,274,21
INSERCAO,880133026,328,25
INSERCAO,237973319,218,19
INSERCAO,599862719,283,20
INSERCAO,512015047,354,31
INSERCAO,919168099,387,21
INSERCAO,657927979,275,22
INSERCAO,600153444,395,24
INSERCAO,839343698,288,27
INSERCAO,938920929,278,23
INSERCAO,210516158,446,28
INSERCAO,221656648,255,29
INSERCAO,481471951,376,29
INSERCAO,922111916,366,26
INSERCAO,651797636,236,27
INSERCAO,232976504,301,25
INSERCAO,743383900,640,32
INSERCAO,815953081,259,30
INSERCAO,086817638,322,30
INSERCAO,659647313,271,22
INSERCAO,668903775,438,34
INSERCAO,451145090,369,33
INSERCAO,440967461,304,31
INSERCAO,987021682,452,19
INSERCAO,725876375,312,35
INSERCAO,935208522,274,20
INSERCAO,265897595,314,36
INSERCAO,896704979,330,24
INSERCAO,605910717,463,32
INSERCAO,828560254,346,26
INSERCAO,952041168,295,31
INSERCAO,570640367,512,33
INSERCAO,604329430,510,34
INSERCAO,823274039,276,25
INSERCAO,311399318,316,32
INSERCAO,594906397,415,34
INSERCAO,489425944,278,27
INSERCAO,951488221,300,32
INSERCAO,457633089,239,26
INSERCAO,359491325,429,37
INSERCAO,377517174,335,28
INSERCAO,235144678,308,33
INSERCAO,337409805,349,38
INSERCAO,907029962,279,21
INSERCAO,193836730,577,35
INSERCAO,659820399,348,27
INSERCAO,271224155,360,39
INSERCAO,586100382,220,22
INSERCAO,489622714,345,29
INSERCAO,581829497,377,35
INSERCAO,719779413,300,23
INSERCAO,814986135,360,40
INSERCAO,965481559,351,28
INSERCAO,280242378,318,34
INSERCAO,615301759,246,29
INSERCAO,856959090,525,36
INSERCAO,832645303,223,24
INSERCAO,844000238,449,35
